DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,EL,60,EL30,60,5,3,1,400.05,NA,1,1,1
2013,EL,65,EL30,65,1,4,1,398.78,NA,1,1,1
2013,EL,82,EL30,82,1,4,2,796.29,613.51,1,1,3
2013,EL,109,EL30,109,3,5,1,281.94,NA,1,1,3
2013,EL,122,EL30,122,1,3,1,414.02,NA,2,1,5
2013,EL,125,EL30,125,1,5,1,402.59,NA,1,1,5
2013,EL,129,EL30,129,3,2,1,1052.83,NA,1,1,3
2013,EL,136,EL30,136,1,4,1,596.9,NA,1,1,2
2013,EL,146,EL30,146,1,5,1,534.67,NA,1,1,3
2013,EL,162,EL30,162,1,3,1,430.53,NA,1,2,1
2013,EL,176,EL30,176,3,4,2,560.07,NA,1,2,2
2013,EL,186,EL30,186,1,3,2,590.55,NA,1,2,2
2013,EL,189,EL30,189,3,4,2,466.37,NA,1,2,1
2013,EL,192,EL30,192,1,4,1,1703.07,NA,1,1,2
2013,EL,195,EL30,195,1,4,1,596.9,252.12,1,2,5
2013,EL,196,EL30,196,1,3,2,529.59,NA,1,2,1
2013,EL,221,EL30,221,1,3,1,405.13,328.12,1,1,1
2013,EL,231,EL30,231,1,4,2,1791.97,NA,1,2,1
2013,EL,237,EL30,237,1,2,1,507.48,NA,2,1,2
2013,EL,254,EL30,254,2,3,2,650.24,NA,1,1,4
2013,EL,269,EL30,269,1,5,2,500.38,NA,2,2,1
2013,EL,287,EL30,287,1,5,1,459.74,NA,1,1,1
2013,EL,290,EL30,290,2,4,1,410.21,NA,1,2,3
2013,EL,319,EL30,319,1,4,1,693.42,NA,1,1,2
2013,EL,324,EL30,324,1,5,1,452.12,NA,1,1,1
2013,EL,341,EL30,341,1,4,1,534.67,NA,1,1,4
2013,EL,343,EL30,343,1,3,1,269.24,NA,1,1,3
2013,EL,352,EL30,352,1,4,1,541.02,NA,1,1,2
2013,EL,353,EL30,353,1,3,1,322.58,NA,1,2,1
2013,EL,371,EL30,371,1,4,1,193.04,NA,1,2,1
2013,EL,384,EL30,384,1,2,1,505.46,NA,1,2,3
2013,EL,427,EL30,427,1,3,2,433.07,NA,1,1,2
2013,EL,432,EL30,432,1,2,2,476.25,NA,2,1,2
2013,EL,439,EL30,439,3,2,2,359.41,NA,1,1,3
2013,EL,453,EL30,453,1,2,1,319.7,NA,1,1,2
2013,EL,454,EL30,454,1,6,1,685.28,NA,1,1,1
2013,EL,469,EL30,469,1,3,1,339.09,NA,1,2,4
2013,EL,480,EL30,480,1,3,1,325.12,NA,1,1,1
2013,EL,483,EL30,483,2,4,1,402.59,NA,1,2,2
2013,EL,495,EL30,495,1,3,1,578.59,NA,1,2,2
2013,EL,545,EL30,545,1,4,1,601.45,NA,1,1,1
2013,EL,549,EL30,549,1,2,1,729.87,NA,1,2,1
2013,EL,557,EL30,557,1,2,2,641.35,NA,1,1,3
2013,EL,584,EL30,584,1,3,1,408.94,NA,1,2,2
2013,EL,585,EL30,585,1,2,1,292.08,NA,1,1,1
2013,EL,646,EL30,646,1,3,2,847.09,NA,1,1,2
2013,EL,673,EL30,673,5,4,1,438.15,NA,1,2,4
2013,EL,674,EL30,674,1,3,1,415.29,NA,1,1,3
2013,EL,678,EL30,678,1,3,1,359.41,NA,1,1,2
2013,EL,679,EL30,679,5,3,1,505.46,NA,1,1,1
2013,EL,681,EL30,681,1,4,2,402.59,NA,1,1,3
2013,EL,686,EL30,686,2,3,2,439.42,183.1,1,1,1
2013,EL,720,EL30,720,1,5,1,402.59,991.18,1,1,1
2013,EL,728,EL30,728,1,4,2,261.62,NA,2,2,2
2013,EL,735,EL30,735,1,3,1,453.39,NA,1,1,2
2013,EL,753,EL30,753,3,4,1,473.71,NA,1,1,3
2013,EL,755,EL30,755,1,2,1,295.91,NA,1,1,3
2013,EL,785,EL30,785,5,3,2,384.81,NA,1,2,2
2013,EL,824,EL30,824,1,4,1,433.07,NA,1,1,1
2013,EL,846,EL30,846,2,4,1,273.05,NA,1,2,4
2013,EL,879,EL30,879,3,4,2,414.78,NA,1,2,1
2013,EL,898,EL30,898,2,2,2,331.13,NA,1,2,1
2013,EL,900,EL30,900,5,3,2,435.61,NA,1,2,1
2013,EL,910,EL30,910,1,2,1,615.95,NA,1,1,2
2013,EL,943,EL30,943,2,4,1,246.38,NA,2,2,2
2013,EL,944,EL30,944,3,3,1,289.56,NA,1,1,2
2013,EL,947,EL30,947,1,3,1,541.02,167.67,1,1,5
2013,EL,983,EL30,983,1,4,1,750.57,NA,1,1,2
2013,EL,986,EL30,986,1,5,1,596.9,438.06,1,1,3
2013,EL,1032,EL30,1032,3,6,1,1027.43,NA,1,1,2
2013,EL,1033,EL30,1033,1,5,1,1052.83,NA,1,1,4
2013,EL,1062,EL30,1062,2,3,1,388.62,NA,1,1,2
2013,EL,1065,EL30,1065,3,3,1,464.82,NA,1,1,5
2013,EL,1069,EL30,1069,1,1,1,224.79,NA,2,2,1
2013,EL,1074,EL30,1074,1,6,1,1266.7,NA,1,1,5
2013,EL,1101,EL30,1101,2,6,1,464.82,NA,1,2,4
2013,EL,1110,EL30,1110,1,2,1,445.77,NA,1,2,3
2013,EL,1124,EL30,1124,3,3,1,368.3,NA,1,1,1
2013,EL,1125,EL30,1125,3,4,2,493.04,NA,1,2,2
2013,EL,1167,EL30,1167,1,3,2,452.12,NA,1,1,1
2013,EL,1191,EL30,1191,3,3,1,544.83,NA,1,1,2
2013,EL,1215,EL30,1215,1,3,1,401.32,NA,1,2,1
2013,EL,1230,EL30,1230,1,5,1,541.02,NA,1,1,3
2013,EL,1236,EL30,1236,2,2,1,292.1,49.34,1,2,1
2013,EL,1245,EL30,1245,1,2,1,567.49,NA,1,1,2
2013,EL,1248,EL30,1248,1,4,1,867.41,613.51,1,1,1
2013,EL,1249,EL30,1249,1,5,2,414.78,48.59,1,1,2
2013,EL,1254,EL30,1254,1,6,1,309.88,NA,1,1,3
2013,EL,1261,EL30,1261,1,1,1,510.02,NA,1,2,3
2013,EL,1276,EL30,1276,1,3,1,232.41,NA,1,1,2
2013,EL,1319,EL30,1319,1,3,1,486.41,NA,1,1,2
2013,EL,1321,EL30,1321,1,2,2,361.76,NA,1,1,2
2013,EL,1326,EL30,1326,1,4,1,276.86,NA,1,1,3
2013,EL,1339,EL30,1339,1,2,1,254,NA,2,2,2
2013,EL,1340,EL30,1340,3,3,1,506.73,0,1,2,1
2013,EL,1344,EL30,1344,1,2,1,118.11,NA,1,1,2
2013,EL,1352,EL30,1352,1,2,1,421.64,320.77,1,1,3
2013,EL,1368,EL30,1368,2,4,1,402.59,NA,1,1,2
2013,EL,1378,EL30,1378,1,3,1,586.74,52.68,1,1,3
2013,EL,1402,EL30,1402,1,3,1,342.9,NA,1,1,2
2013,EL,1413,EL30,1413,3,3,1,433.07,NA,1,2,5
2013,EL,1415,EL30,1415,5,3,1,537.21,NA,1,2,3
2013,EL,1424,EL30,1424,1,6,1,402.59,NA,1,1,3
2013,EL,1437,EL30,1437,2,5,1,603.25,NA,1,2,5
2013,EL,1446,EL30,1446,1,2,1,571.5,NA,1,1,2
2013,EL,1469,EL30,1469,2,4,1,252.73,NA,1,1,2
2013,EL,1519,EL30,1519,1,6,1,288.29,NA,1,1,5
2013,EL,1529,EL30,1529,1,3,1,448.31,NA,1,1,1
2013,EL,1530,EL30,1530,1,6,1,596.9,NA,1,1,3
2013,EL,1536,EL30,1536,1,4,1,251.46,NA,1,2,1
2013,EL,1559,EL30,1559,2,3,1,487.68,NA,1,2,2
2013,EL,1597,EL30,1597,1,3,1,402.59,NA,1,1,1
2013,EL,1600,EL30,1600,1,4,1,402.59,NA,1,1,1
2013,EL,1603,EL30,1603,1,6,1,1139.19,NA,1,1,4
2013,EL,1622,EL30,1622,2,6,1,410.21,NA,1,1,2
2013,EL,1640,EL30,1640,2,4,1,1059.18,NA,1,1,2
2013,EL,1644,EL30,1644,1,3,1,1125.22,NA,1,1,2
2013,EL,1673,EL30,1673,1,4,1,434.94,NA,1,2,4
2013,EL,1704,EL30,1704,1,3,1,490.22,NA,1,1,3
2013,EL,1705,EL30,1705,1,3,1,828.6,NA,1,1,1
2013,EL,1718,EL30,1718,1,3,1,353.06,NA,1,1,3
2013,EL,1733,EL30,1733,2,4,1,637.54,NA,2,1,4
2013,EL,1780,EL30,1780,4,4,1,326.39,NA,1,2,1
2013,EL,1785,EL30,1785,1,4,1,402.59,NA,1,1,4
2013,EL,1790,EL30,1790,1,3,1,245.11,NA,1,2,1
2013,EL,1792,EL30,1792,1,3,1,496.57,NA,2,2,1
2013,EL,1823,EL30,1823,3,1,2,928.37,NA,1,2,3
