DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,SK,32,SK01,32,5,2,1,148.78,NA,1,2,3
2013,SK,41,SK01,41,3,3,1,175.69,NA,1,1,3
2013,SK,49,SK01,49,3,4,1,101.17,89.65,1,1,2
2013,SK,56,SK01,56,3,2,1,108.27,NA,1,2,3
2013,SK,61,SK01,61,1,2,1,183.25,NA,2,2,2
2013,SK,75,SK01,75,1,3,2,155.4,NA,1,2,2
2013,SK,83,SK01,83,1,6,1,96.22,NA,1,1,4
2013,SK,87,SK01,87,1,3,1,175.69,NA,1,2,3
2013,SK,90,SK01,90,1,4,1,448.18,NA,1,1,3
2013,SK,162,SK01,162,1,3,1,226.64,NA,1,1,4
2013,SK,180,SK01,180,1,3,1,68.01,NA,1,2,4
2013,SK,276,SK01,276,1,3,1,276.42,NA,2,2,3
2013,SK,277,SK01,277,1,2,1,142.6,NA,1,2,4
2013,SK,316,SK01,316,1,4,1,168.75,NA,2,1,3
2013,SK,338,SK01,338,1,4,1,432.38,89.65,1,1,2
2013,SK,343,SK01,343,1,4,1,182.65,NA,2,2,2
2013,SK,357,SK01,357,1,3,1,122.67,NA,1,1,4
2013,SK,360,SK01,360,1,3,1,100,NA,2,1,6
2013,SK,393,SK01,393,1,3,1,133.21,71.41,1,1,1
2013,SK,419,SK01,419,1,3,1,122.38,NA,1,1,3
2013,SK,424,SK01,424,1,1,1,182.6,NA,1,1,2
2013,SK,468,SK01,468,1,6,1,239.54,NA,2,1,3
2013,SK,574,SK01,574,1,2,1,193.3,NA,1,2,1
2013,SK,589,SK01,589,1,3,1,108.27,NA,1,2,3
2013,SK,616,SK01,616,3,3,1,240,NA,2,2,3
2013,SK,659,SK01,659,1,3,1,244.16,NA,2,1,2
2013,SK,673,SK01,673,1,2,1,361.8,NA,2,1,2
2013,SK,676,SK01,676,,,,0,0,,,
2013,SK,723,SK01,723,4,6,1,256.87,NA,1,1,3
2013,SK,799,SK01,799,3,5,1,224.96,NA,1,2,3
2013,SK,852,SK01,852,1,4,1,349.71,NA,1,1,3
2013,SK,854,SK01,854,3,3,1,175.69,NA,1,2,3
2013,SK,876,SK01,876,1,4,1,218.25,NA,1,2,2
2013,SK,929,SK01,929,1,4,1,226.25,NA,1,2,4
2013,SK,932,SK01,932,1,6,1,394.42,NA,1,1,3
2013,SK,974,SK01,974,1,3,1,113.97,NA,2,1,1
2013,SK,978,SK01,978,2,3,1,334.32,NA,1,2,3
2013,SK,979,SK01,979,1,3,1,167.57,NA,1,2,3
2013,SK,1026,SK01,1026,3,3,1,238.52,NA,1,1,3
2013,SK,1039,SK01,1039,1,4,1,274.71,NA,1,1,4
2013,SK,1079,SK01,1079,1,4,1,180,NA,1,2,1
2013,SK,1097,SK01,1097,1,3,1,175.69,NA,1,2,3
2013,SK,1116,SK01,1116,3,1,1,221.9,NA,1,2,3
2013,SK,1122,SK01,1122,3,3,1,361.8,NA,1,2,4
2013,SK,1126,SK01,1126,1,3,1,140.87,NA,2,1,3
2013,SK,1154,SK01,1154,1,4,1,56.92,NA,1,1,3
2013,SK,1164,SK01,1164,1,3,1,120.4,NA,1,1,2
2013,SK,1190,SK01,1190,,,,0,0,,,
2013,SK,1214,SK01,1214,2,4,1,106.43,NA,2,2,3
2013,SK,1233,SK01,1233,1,2,1,180.17,NA,1,1,4
2013,SK,1327,SK01,1327,1,3,1,151.67,NA,1,2,3
2013,SK,1389,SK01,1389,2,4,1,721.62,NA,1,1,3
2013,SK,1395,SK01,1395,,,,0,0,,,
2013,SK,1436,SK01,1436,1,3,2,399.34,NA,1,2,2
2013,SK,1481,SK01,1481,1,4,1,290,NA,1,1,2
2013,SK,1494,SK01,1494,,,,0,0,,,
2013,SK,1545,SK01,1545,1,6,1,123.11,NA,1,2,2
2013,SK,1546,SK01,1546,1,1,1,121.25,NA,2,2,1
2013,SK,1564,SK01,1564,1,2,1,151.67,NA,1,2,4
2013,SK,1566,SK01,1566,5,4,1,214.57,NA,1,1,4
2013,SK,1602,SK01,1602,3,3,1,218.25,NA,1,1,2
2013,SK,1616,SK01,1616,,,,0,0,,,
2013,SK,1624,SK01,1624,1,3,1,168.26,NA,1,2,3
2013,SK,1639,SK01,1639,1,2,1,649.93,NA,1,1,4
