DB010,DB020,DB030,DB040,HB030,HH021,HH030,HH050,HH070,HH071,HS050,HS060,HS120
2013,SI,486,,486,1,3,2,89.17,,1,2,3
2013,SI,611,,611,1,3,1,402.42,,1,2,1
2013,SI,818,,818,4,4,1,301.26,,1,2,5
2013,SI,971,,971,1,5,1,473,,1,2,5
2013,SI,1085,,1085,1,4,1,105.17,,2,2,4
2013,SI,1224,,1224,1,3,1,546.67,,1,1,4
2013,SI,1453,,1453,1,6,1,374.67,,1,2,2
2013,SI,1478,,1478,1,4,1,152.17,,1,2,4
2013,SI,1674,,1674,1,4,1,195.17,,1,2,3
2013,SI,1744,,1744,5,4,1,201,,1,1,2
2013,SI,1794,,1794,1,3,1,148.33,,1,2,1
2013,SI,1932,,1932,1,4,1,183.75,,2,2,1
2013,SI,2052,,2052,4,2,1,178,,1,1,2
2013,SI,2612,,2612,1,5,1,125,,1,2,2
2013,SI,2675,,2675,1,3,1,288,,1,2,1
2013,SI,2719,,2719,2,6,1,262.5,290,2,1,3
2013,SI,3227,,3227,1,2,1,231.11,,1,2,2
2013,SI,3462,,3462,1,2,1,192.25,,2,2,2
2013,SI,3507,,3507,5,4,1,283.33,,1,1,3
2013,SI,3667,,3667,1,4,1,107.5,,1,2,1
2013,SI,4170,,4170,1,5,1,256.25,,1,2,2
2013,SI,4483,,4483,1,3,1,177.75,,1,1,2
2013,SI,4963,,4963,1,4,1,255.17,,1,2,1
2013,SI,5146,,5146,1,4,1,97.17,,1,1,3
2013,SI,5167,,5167,1,4,1,53,,1,1,3
2013,SI,5197,,5197,5,4,1,232,,2,1,3
2013,SI,5208,,5208,1,4,1,290.58,,1,2,3
2013,SI,5491,,5491,5,3,1,603.67,,1,2,4
2013,SI,5568,,5568,4,3,1,273.33,,1,1,4
2013,SI,5814,,5814,1,4,1,86.83,0,1,2,2
2013,SI,6171,,6171,5,5,1,204.4,,1,2,3
2013,SI,6571,,6571,5,6,1,251.25,,2,1,4
2013,SI,6872,,6872,1,5,1,290,,1,1,2
2013,SI,7078,,7078,1,3,1,480.33,,1,2,3
2013,SI,7168,,7168,1,2,2,266.67,,1,2,3
2013,SI,7256,,7256,5,2,1,199,,1,2,3
2013,SI,7767,,7767,1,2,1,111.67,,1,2,2
2013,SI,8086,,8086,5,1,1,94.67,,1,1,1
2013,SI,8221,,8221,5,1,1,85,,2,1,3
2013,SI,8383,,8383,2,3,1,108.08,,1,2,2
2013,SI,8388,,8388,1,3,1,413.33,,1,1,2
2013,SI,8489,,8489,1,4,1,397.5,,1,2,3
2013,SI,8999,,8999,1,2,1,244.17,,1,1,1
2013,SI,9085,,9085,1,3,2,235,200,1,1,3
2013,SI,9430,,9430,1,4,2,105.58,,1,1,2
2013,SI,9465,,9465,1,6,1,241.83,,1,2,1
2013,SI,9475,,9475,1,4,1,555,,1,2,2
2013,SI,9584,,9584,1,2,1,252.5,,1,1,3
2013,SI,9635,,9635,1,4,2,323.75,,2,2,3
2013,SI,10056,,10056,5,3,1,400.36,,1,1,4
2013,SI,10566,,10566,1,2,1,72.5,,1,2,3
2013,SI,11593,,11593,1,2,1,822.67,,2,2,4
2013,SI,11781,,11781,1,4,1,421,,1,1,4
2013,SI,11971,,11971,1,3,1,299.67,,1,1,3
2013,SI,12185,,12185,1,4,1,318.08,,1,2,4
2013,SI,12364,,12364,3,6,1,1031.33,,1,2,3
2013,SI,12511,,12511,1,5,1,433.33,249,1,2,3
2013,SI,12524,,12524,1,3,1,204.67,,1,1,3
2013,SI,13045,,13045,1,1,1,52.5,,1,2,3
2013,SI,13128,,13128,1,3,1,471.14,,1,1,2
2013,SI,13428,,13428,1,2,1,261.67,,1,1,1
2013,SI,13513,,13513,1,4,1,124.42,121,1,1,5
2013,SI,13561,,13561,1,4,1,84.67,,1,2,2
2013,SI,13582,,13582,1,4,1,254.83,,2,2,2
2013,SI,14433,,14433,3,3,1,138.9,,1,2,1
2013,SI,14484,,14484,1,4,1,581.83,,1,1,4
2013,SI,14935,,14935,1,5,1,440.49,,2,1,3
2013,SI,15308,,15308,1,3,1,371.33,,1,2,2
2013,SI,15343,,15343,5,1,1,231.11,,2,2,1
2013,SI,15362,,15362,1,4,1,142,,1,1,4
2013,SI,15666,,15666,1,4,1,494,,1,2,2
2013,SI,15703,,15703,5,4,1,50,,1,2,1
2013,SI,16364,,16364,1,3,1,195,,1,1,2
2013,SI,16737,,16737,1,3,1,463.17,,1,1,1
2013,SI,16801,,16801,1,4,1,76.33,,1,1,3
2013,SI,17134,,17134,5,4,1,68.33,,1,2,3
2013,SI,17454,,17454,1,6,2,232.83,,1,1,4
2013,SI,17521,,17521,5,6,1,200,,2,1,2
2013,SI,18217,,18217,3,3,1,223.33,,1,2,2
2013,SI,18720,,18720,1,3,1,171.67,,1,1,3
2013,SI,18848,,18848,1,3,1,206.17,,1,2,3
2013,SI,18942,,18942,1,2,1,104.25,,1,2,4
2013,SI,19037,,19037,5,6,1,243.67,,1,1,3
2013,SI,19142,,19142,3,3,1,175.17,,1,1,3
2013,SI,19435,,19435,1,2,1,196.17,,1,1,3
2013,SI,19725,,19725,1,5,1,199.58,,1,2,1
2013,SI,19842,,19842,1,4,1,166.67,,1,1,2
2013,SI,20301,,20301,1,3,1,213.67,,1,1,3
2013,SI,20943,,20943,2,1,1,275.67,1,1,2,3
2013,SI,20958,,20958,1,2,1,327,,1,1,3
2013,SI,20967,,20967,1,3,1,56.17,,1,1,4
2013,SI,20977,,20977,5,4,1,111.58,,1,1,3
2013,SI,21044,,21044,1,2,1,75.17,,1,1,3
2013,SI,21586,,21586,3,5,2,176.67,,1,2,2
2013,SI,21755,,21755,1,3,1,196.5,,1,1,3
2013,SI,21887,,21887,3,3,1,562.33,,1,1,1
2013,SI,21948,,21948,1,6,1,397,,1,2,2
2013,SI,22038,,22038,2,1,1,317.8,71,1,2,3
2013,SI,22039,,22039,1,4,1,270,,1,1,2
